Title; ISSN; Language; Country; Subject; Observation;
'null'; '2161-0673'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2161-069X'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2161-0940'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2161-0959'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2161-0983'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2161-0991'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2161-1017'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2161-1025'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2161-105X'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2161-1068'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2161-1122'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2161-1165'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2161-119X'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2162-139X'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2163-1638'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2164-7844'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2166-1200'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2167-0465'; 'null'; 'null'; 'null'; 'Registro inexistente';
'null'; '2167-549X'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2168-8362'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2169-0693'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2169-074X'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2169-429X'; 'null'; 'null'; 'null'; 'Registro encontrado mas sem info';
'null'; '2172-5672'; 'null'; 'null'; 'null'; 'Registro inexistente';
'null'; '2177-0260'; 'null'; 'null'; 'null'; 'Registro inexistente';
'null'; '2177-4273'; 'null'; 'null'; 'null'; 'Registro inexistente';
'null'; '2177-8688'; 'null'; 'null'; 'null'; 'Registro inexistente';
'null'; '2178-9125'; 'null'; 'null'; 'null'; 'Registro inexistente';
